Name,Age,Education,Employment,Income,Poverty Level
Lisa Harmon,73,No Education,Employed,974599,Above Poverty Line
Jennifer Bowman,42,Primary,Self-employed,20076,Middle Class
Jacob Rivera,23,Secondary,Employed,452555,Above Poverty Line
Gordon Salazar,83,Primary,Self-employed,804190,Above Poverty Line
Lauren Lee,53,Primary,Unemployed,15965,Middle Class
Melissa Evans,79,No Education,Self-employed,337125,Above Poverty Line
Leslie Briggs,62,Secondary,Self-employed,860752,Above Poverty Line
Molly Gutierrez DVM,19,No Education,Self-employed,84944,Middle Class
Kimberly Turner,70,Tertiary,Unemployed,11543,Middle Class
Dean Castillo,70,Primary,Employed,667301,Above Poverty Line
Chad Hickman,57,Tertiary,Self-employed,687512,Above Poverty Line
Greg Russell,44,Secondary,Unemployed,9368,Below Poverty Line
James Hanson,71,Secondary,Unemployed,14711,Middle Class
Stephanie Stokes,52,Secondary,Self-employed,399794,Above Poverty Line
Jon Hines,66,Tertiary,Unemployed,9213,Below Poverty Line
Brian Morgan,69,Tertiary,Unemployed,14136,Middle Class
Stephanie Soto,79,Secondary,Unemployed,6835,Below Poverty Line
Brittany Taylor,76,Secondary,Unemployed,9008,Below Poverty Line
Michael Long,86,No Education,Self-employed,193212,Above Poverty Line
Charles Johnson,61,Secondary,Self-employed,62462,Middle Class
Jackie Johnston MD,37,Secondary,Self-employed,870921,Above Poverty Line
Wesley Kim,26,Secondary,Unemployed,15112,Middle Class
Dustin Nichols II,70,Secondary,Self-employed,108473,Above Poverty Line
Christine Beasley,52,Secondary,Unemployed,8044,Below Poverty Line
Vanessa Smith,18,No Education,Employed,195696,Above Poverty Line
George Hamilton,71,Secondary,Unemployed,10316,Middle Class
Jerry Zavala,60,Secondary,Self-employed,763448,Above Poverty Line
Christina Richardson,22,Tertiary,Employed,434719,Above Poverty Line
Kevin Adams,30,Primary,Self-employed,856707,Above Poverty Line
Jean Archer,59,Secondary,Employed,312002,Above Poverty Line
Angela Collins,51,No Education,Unemployed,2564,Below Poverty Line
Leonard Becker,73,Primary,Employed,175872,Above Poverty Line
Roger Thompson,84,Tertiary,Unemployed,8158,Below Poverty Line
James Lee,36,Tertiary,Unemployed,12279,Middle Class
Heather Meyer,75,Primary,Unemployed,9815,Below Poverty Line
Caleb Burch,36,Secondary,Self-employed,178842,Above Poverty Line
Matthew Schroeder,51,Tertiary,Employed,437300,Above Poverty Line
Gloria Wilson,18,Tertiary,Employed,842753,Above Poverty Line
Mrs. Leslie Higgins,35,Primary,Self-employed,66373,Middle Class
Travis Smith,19,Secondary,Self-employed,665235,Above Poverty Line
Deborah Baker,60,Primary,Self-employed,21095,Middle Class
Scott Robinson,83,Primary,Unemployed,14715,Middle Class
Debra Boyd,30,Tertiary,Employed,526172,Above Poverty Line
Jacqueline Wilson,37,No Education,Self-employed,65483,Middle Class
Brian Brown,77,No Education,Self-employed,148761,Above Poverty Line
Ashley Hernandez,66,Secondary,Employed,577287,Above Poverty Line
Elizabeth Smith,49,No Education,Employed,97356,Middle Class
Jacqueline Shields,19,Secondary,Self-employed,890507,Above Poverty Line
David Ayala,25,Primary,Unemployed,7589,Below Poverty Line
Kelly Roberson,57,Tertiary,Self-employed,51321,Middle Class
Carrie Wilson,29,No Education,Employed,179290,Above Poverty Line
Anthony Estrada,57,No Education,Employed,919712,Above Poverty Line
Victoria Avila,24,Secondary,Employed,241007,Above Poverty Line
Roberta Johnson,61,Secondary,Employed,352133,Above Poverty Line
Angela Garcia,29,Tertiary,Employed,579691,Above Poverty Line
Kimberly Lewis,76,Primary,Unemployed,10343,Middle Class
Ryan Woods,82,Secondary,Unemployed,10128,Middle Class
Cynthia Richmond,79,Secondary,Unemployed,6399,Below Poverty Line
Amanda Thompson,30,Secondary,Self-employed,821706,Above Poverty Line
Dana Schneider,25,Primary,Employed,394550,Above Poverty Line
Amanda Rivera,39,No Education,Employed,426898,Above Poverty Line
Susan Campbell,36,Secondary,Self-employed,385695,Above Poverty Line
Jennifer Cox,48,Secondary,Unemployed,9408,Below Poverty Line
Martin Yates,40,Secondary,Unemployed,11848,Middle Class
Victor Garcia,48,Tertiary,Unemployed,12346,Middle Class
Heather Harris,81,Primary,Unemployed,17040,Middle Class
Ann Jacobs,41,Primary,Employed,950131,Above Poverty Line
William Torres,57,Primary,Employed,34161,Middle Class
Heather Galloway,82,Tertiary,Employed,145049,Above Poverty Line
Brandy Williams,40,No Education,Employed,324553,Above Poverty Line
Michael Evans,56,Tertiary,Employed,101481,Above Poverty Line
Melissa Douglas,21,No Education,Employed,750009,Above Poverty Line
Seth Larson,45,Secondary,Employed,429139,Above Poverty Line
Madison Goodwin,30,No Education,Unemployed,13118,Middle Class
Vanessa Powell,36,No Education,Unemployed,1673,Below Poverty Line
John Deleon,84,Secondary,Self-employed,460141,Above Poverty Line
Jennifer Mann,22,Tertiary,Employed,418109,Above Poverty Line
Brianna Mullins,66,Primary,Unemployed,4070,Below Poverty Line
Hannah Buck,49,Tertiary,Employed,328431,Above Poverty Line
Cody Orr,72,No Education,Unemployed,8446,Below Poverty Line
Jennifer Estrada,62,Tertiary,Employed,376835,Above Poverty Line
Ryan Butler,38,Primary,Employed,208876,Above Poverty Line
Mary Thompson,22,Secondary,Self-employed,456853,Above Poverty Line
Jeremy Allen,71,Secondary,Self-employed,407827,Above Poverty Line
Kimberly Miller,80,Secondary,Self-employed,956852,Above Poverty Line
Shirley Williams,41,No Education,Self-employed,919603,Above Poverty Line
Brandon Adams,42,Primary,Employed,278256,Above Poverty Line
Caitlin Roberts,79,No Education,Self-employed,557781,Above Poverty Line
Jeffrey Gallagher,31,Secondary,Unemployed,5142,Below Poverty Line
Michelle Garcia,71,Tertiary,Self-employed,332394,Above Poverty Line
Rachel Rodriguez,66,Tertiary,Unemployed,8457,Below Poverty Line
Bobby Mckinney,24,Primary,Employed,574527,Above Poverty Line
Sherry Rasmussen,26,Secondary,Self-employed,588667,Above Poverty Line
Joshua Horn,22,Secondary,Self-employed,95577,Middle Class
Alison Smith,81,No Education,Employed,502285,Above Poverty Line
Jessica Reese,40,Tertiary,Self-employed,968741,Above Poverty Line
Diana Salazar,73,Tertiary,Unemployed,9026,Below Poverty Line
George Mcdowell,49,Primary,Unemployed,4724,Below Poverty Line
Kevin Blackwell,35,Secondary,Employed,522869,Above Poverty Line
Dawn Campos,52,Secondary,Unemployed,13958,Middle Class
Kurt Duarte,74,Tertiary,Unemployed,1337,Below Poverty Line
Aaron Mills,83,No Education,Unemployed,11773,Middle Class
Christine Harmon,45,Primary,Unemployed,6415,Below Poverty Line
Kelly Harris,67,Secondary,Self-employed,173414,Above Poverty Line
Richard Gregory,32,No Education,Self-employed,795567,Above Poverty Line
John Hartman,82,Tertiary,Self-employed,599330,Above Poverty Line
Laura Lopez,21,No Education,Self-employed,267232,Above Poverty Line
Dean Alvarado,56,No Education,Self-employed,125237,Above Poverty Line
David Pratt,74,Primary,Employed,728747,Above Poverty Line
Mark Graham,83,Primary,Employed,332304,Above Poverty Line
Brenda Davenport,48,Tertiary,Self-employed,412427,Above Poverty Line
Sandra Robinson,80,Secondary,Unemployed,12400,Middle Class
Jeanette Williams,82,No Education,Self-employed,504899,Above Poverty Line
Elizabeth Pitts,64,Primary,Self-employed,84827,Middle Class
Christina Frank,53,Secondary,Unemployed,11649,Middle Class
Deanna Lopez,43,No Education,Self-employed,629331,Above Poverty Line
Kyle Wilson,20,Tertiary,Self-employed,717058,Above Poverty Line
Deborah White,39,Tertiary,Unemployed,9447,Below Poverty Line
John Lowery,74,No Education,Self-employed,21704,Middle Class
Kaitlyn Garcia,48,Secondary,Employed,354424,Above Poverty Line
Lisa Flynn,61,Primary,Self-employed,318790,Above Poverty Line
Jeffrey Harper,21,Primary,Employed,60305,Middle Class
Meghan Hawkins,20,Secondary,Unemployed,11213,Middle Class
Rebecca Rodriguez,35,Tertiary,Unemployed,12162,Middle Class
Michael Miller,77,Secondary,Employed,780776,Above Poverty Line
Tony Berry,52,Secondary,Self-employed,911469,Above Poverty Line
Willie Wright,61,No Education,Unemployed,18150,Middle Class
Christopher Vega,40,Tertiary,Employed,989690,Above Poverty Line
Natalie Rubio,86,No Education,Self-employed,286506,Above Poverty Line
Barbara Miller,33,Tertiary,Unemployed,5862,Below Poverty Line
Morgan Wilson,64,No Education,Employed,392428,Above Poverty Line
Desiree Bell,80,Tertiary,Self-employed,989574,Above Poverty Line
John Ross,87,Primary,Unemployed,7178,Below Poverty Line
Diana Merritt,42,Primary,Unemployed,13728,Middle Class
Tracy Dennis,29,Tertiary,Self-employed,519484,Above Poverty Line
Ashley Smith,83,Secondary,Self-employed,465989,Above Poverty Line
Carla May,25,Tertiary,Employed,982291,Above Poverty Line
Alexis Cannon,64,Secondary,Employed,817737,Above Poverty Line
Laurie Stewart,65,Primary,Self-employed,916474,Above Poverty Line
Christine Pruitt,58,No Education,Unemployed,10894,Middle Class
Terri Gill,48,Secondary,Self-employed,918768,Above Poverty Line
Alexander Wilcox,82,Primary,Self-employed,325750,Above Poverty Line
Mark Harvey,45,No Education,Self-employed,475160,Above Poverty Line
Peter Patrick,25,Tertiary,Unemployed,17333,Middle Class
Cathy Turner,54,Tertiary,Employed,657622,Above Poverty Line
Sara Adkins,42,No Education,Self-employed,838435,Above Poverty Line
Christopher Bush Jr.,29,No Education,Employed,559055,Above Poverty Line
Michael Bowman,49,No Education,Employed,330697,Above Poverty Line
Justin Harris,51,No Education,Unemployed,15945,Middle Class
Linda Washington,48,Primary,Employed,744984,Above Poverty Line
Matthew Hall,47,No Education,Unemployed,12958,Middle Class
Jordan Hickman,78,Tertiary,Employed,86917,Middle Class
Sharon Phillips,85,Tertiary,Unemployed,7911,Below Poverty Line
Brandi Flynn,82,Secondary,Unemployed,8279,Below Poverty Line
Terry Wolfe,80,Secondary,Self-employed,647498,Above Poverty Line
Matthew Pearson,29,Secondary,Unemployed,8950,Below Poverty Line
Diane Smith,59,Primary,Unemployed,14955,Middle Class
Corey George,85,Primary,Employed,872195,Above Poverty Line
Christine Ramirez,55,Tertiary,Self-employed,660525,Above Poverty Line
Kylie Richards,56,Secondary,Employed,951095,Above Poverty Line
Kyle Hendricks,21,No Education,Unemployed,4436,Below Poverty Line
Dean Schneider,75,Tertiary,Employed,79963,Middle Class
Stephanie Cox,19,No Education,Unemployed,13988,Middle Class
Kristi Michael,52,Tertiary,Employed,868547,Above Poverty Line
Jeffrey Brown,58,Secondary,Employed,909277,Above Poverty Line
Daniel Rowe,42,Primary,Employed,218836,Above Poverty Line
Crystal Flores,50,Tertiary,Self-employed,791388,Above Poverty Line
Kathleen Kirby,87,Secondary,Unemployed,10575,Middle Class
Chad Carey,51,Primary,Self-employed,512913,Above Poverty Line
Felicia Hanson,64,Tertiary,Self-employed,160468,Above Poverty Line
Micheal Lamb,31,Tertiary,Employed,520323,Above Poverty Line
Jared Patterson,81,Primary,Employed,283645,Above Poverty Line
Marcus Walsh,23,Tertiary,Employed,28022,Middle Class
Angela King,58,No Education,Unemployed,1887,Below Poverty Line
Lauren May,74,Primary,Self-employed,733642,Above Poverty Line
Jennifer Riley,20,Secondary,Employed,443491,Above Poverty Line
Laura Martinez,53,Tertiary,Employed,825107,Above Poverty Line
Lisa Long,18,Primary,Self-employed,997179,Above Poverty Line
Samantha King,82,No Education,Employed,268395,Above Poverty Line
Joshua Potts,73,No Education,Self-employed,182608,Above Poverty Line
Sarah Long,59,Tertiary,Self-employed,634718,Above Poverty Line
Douglas Tran,44,Secondary,Self-employed,658826,Above Poverty Line
James Bird,38,Secondary,Employed,104339,Above Poverty Line
Gordon Smith,60,Primary,Employed,150492,Above Poverty Line
Chad Cole,38,Tertiary,Employed,584373,Above Poverty Line
Alyssa Shepard,24,No Education,Unemployed,8668,Below Poverty Line
John Morrow,66,Tertiary,Unemployed,10642,Middle Class
Jessica Roberts,43,Secondary,Employed,307815,Above Poverty Line
Melanie Clayton,67,Secondary,Self-employed,512441,Above Poverty Line
Michael Faulkner,69,No Education,Self-employed,167653,Above Poverty Line
William Livingston,49,Tertiary,Self-employed,35220,Middle Class
Dylan Miller,21,Secondary,Unemployed,13690,Middle Class
Joseph Peterson,71,Tertiary,Employed,740641,Above Poverty Line
Tyler Neal,63,No Education,Unemployed,9396,Below Poverty Line
Mercedes Jones,76,Tertiary,Employed,165507,Above Poverty Line
Jeffery Garza,76,Primary,Employed,525499,Above Poverty Line
Frederick Andrade Jr.,64,No Education,Employed,911190,Above Poverty Line
Thomas Miller DVM,49,No Education,Unemployed,7519,Below Poverty Line
Crystal Turner,52,No Education,Self-employed,913952,Above Poverty Line
Karen Schwartz,79,Tertiary,Self-employed,508410,Above Poverty Line
Dominic Armstrong,70,Secondary,Unemployed,5864,Below Poverty Line
Whitney Flores,82,Primary,Employed,973750,Above Poverty Line
Taylor Hendricks,83,Tertiary,Unemployed,14385,Middle Class
Andrew Chapman,73,No Education,Unemployed,8228,Below Poverty Line
Ian Parsons,61,Tertiary,Unemployed,12550,Middle Class
Jason Daniel,22,Tertiary,Self-employed,831105,Above Poverty Line
Carolyn Reed,57,Secondary,Unemployed,9667,Below Poverty Line
Michael Taylor,48,No Education,Unemployed,6666,Below Poverty Line
Maxwell Jones,67,Tertiary,Unemployed,6064,Below Poverty Line
Brianna Lara,32,Tertiary,Unemployed,6384,Below Poverty Line
Jennifer Galvan,70,No Education,Unemployed,8758,Below Poverty Line
Jennifer Snyder,44,Primary,Unemployed,10997,Middle Class
Lisa Stevens,45,Primary,Employed,826762,Above Poverty Line
Jason Lewis,85,Secondary,Unemployed,9219,Below Poverty Line
Charles Klein,75,Secondary,Employed,769323,Above Poverty Line
Gabrielle Ruiz,37,Primary,Employed,783674,Above Poverty Line
Nicholas Cooper,75,Primary,Employed,472578,Above Poverty Line
Brittany Day,30,Secondary,Employed,64776,Middle Class
Joshua Webster,47,No Education,Unemployed,18306,Middle Class
James Mcdaniel,34,Primary,Employed,513359,Above Poverty Line
Frank Love,34,Tertiary,Self-employed,984714,Above Poverty Line
Caleb Black,66,Secondary,Unemployed,11595,Middle Class
Craig Rivas,61,No Education,Employed,178275,Above Poverty Line
Erik Davis,72,No Education,Unemployed,13696,Middle Class
Matthew Bailey,21,Secondary,Self-employed,323466,Above Poverty Line
Michael Randolph,87,Secondary,Self-employed,853527,Above Poverty Line
Michael Hanson,75,Primary,Employed,608536,Above Poverty Line
Jennifer Carter,62,Secondary,Employed,869559,Above Poverty Line
Alexis Carr,27,Tertiary,Unemployed,15552,Middle Class
William White,77,Primary,Employed,723326,Above Poverty Line
Bryan Strickland,33,Tertiary,Employed,465071,Above Poverty Line
Kelly King,25,Secondary,Employed,862037,Above Poverty Line
Diana Lane,65,Tertiary,Employed,432282,Above Poverty Line
Amanda Patton,55,No Education,Self-employed,148156,Above Poverty Line
Cheryl Turner,58,No Education,Employed,910263,Above Poverty Line
Sandra Flores,54,Primary,Employed,949983,Above Poverty Line
Carly Ingram,30,No Education,Employed,168424,Above Poverty Line
Timothy Jennings,31,No Education,Self-employed,162397,Above Poverty Line
Keith Ramos,43,Secondary,Self-employed,65845,Middle Class
Linda Thomas,65,No Education,Employed,656729,Above Poverty Line
Marco Mendoza MD,51,Primary,Employed,621741,Above Poverty Line
Jeremy Cruz,22,Secondary,Unemployed,9511,Below Poverty Line
Sheila Thompson,36,Secondary,Employed,321969,Above Poverty Line
Brian Curry,74,Primary,Self-employed,955175,Above Poverty Line
Ryan Contreras,56,No Education,Unemployed,5814,Below Poverty Line
Barbara Curtis,42,No Education,Employed,544846,Above Poverty Line
Raymond Carter,21,No Education,Self-employed,663341,Above Poverty Line
Katie Miller,40,Secondary,Unemployed,9358,Below Poverty Line
Kristen Reese,48,Secondary,Employed,484735,Above Poverty Line
Sheri James,87,No Education,Self-employed,565724,Above Poverty Line
Diana Espinoza,21,Primary,Employed,829496,Above Poverty Line
Debra Munoz,48,Secondary,Unemployed,14841,Middle Class
Tristan Shaw,63,No Education,Unemployed,6929,Below Poverty Line
Morgan Berry,49,Primary,Unemployed,11299,Middle Class
Joann Russell DDS,81,No Education,Unemployed,9236,Below Poverty Line
Jean Holmes,73,Primary,Employed,975593,Above Poverty Line
Derrick Hamilton,18,Secondary,Self-employed,227596,Above Poverty Line
Kristen Phillips,46,Primary,Self-employed,435658,Above Poverty Line
Joshua Murray,39,No Education,Unemployed,6514,Below Poverty Line
Kenneth Casey,61,Tertiary,Self-employed,281113,Above Poverty Line
Erik Burke,58,Tertiary,Employed,329277,Above Poverty Line
David Figueroa,87,Tertiary,Unemployed,10466,Middle Class
Michele King,68,No Education,Self-employed,965856,Above Poverty Line
Danny Davis,46,Secondary,Employed,445513,Above Poverty Line
Jeffrey Stark,63,Primary,Employed,961405,Above Poverty Line
Julie Conley,41,No Education,Self-employed,155050,Above Poverty Line
Cathy Newman,28,Tertiary,Self-employed,428800,Above Poverty Line
Thomas Smith,82,Primary,Self-employed,294328,Above Poverty Line
Oscar Farrell,35,No Education,Unemployed,6693,Below Poverty Line
Elizabeth Ortiz,86,Secondary,Self-employed,965192,Above Poverty Line
